#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
12,1679943628,debian,19363,500999,263,11296,34,79658,39849,7445,0.0011448999994172,6940,0.0605029840007773,7500,0.0046889780005585,7463,0.0010849009995581,142346,3
11,1679943628,rhel,21883,723364,263,14920,34,133276,210190,25524,0.0075130050008738,22128,0.0965364050007338,21836,0.0294199109994224,25542,0.0073162340013368,280336,3
12,1679943628,ubuntu,20836,1298268,263,20931,34,78313,39537,6796,0.0011594419993343,6296,0.0598967999994783,6829,0.0046351219989446,6814,0.0010431519986013,137799,3
12,1679944528,hub,21664,1325675,1125,20935,34,187486,46848,8475,0.0013866570006939,7824,0.0628581879991543,8395,0.0053937240008963,8493,0.0012262170002941,156930,3
13,1679944528,centos,19531,682301,263,10609,34,79617,38843,7242,0.001133847001256,6728,0.0828320540003915,7343,0.0046019000001251,7260,0.0010763699992821,134136,3
13,1679944528,debian,19469,504991,263,11296,34,79454,48741,8256,0.0016641130005154,7644,0.0639654590013378,8072,0.0057599060000939,8274,0.0013479099998221,155607,3
12,1679944528,rhel,21883,723364,263,14920,34,133276,40,39,9.752600089996122e-05,88,0.0501642500003072,63,7.602400000905618e-05,57,9.594599941920023e-05,23,3
13,1679944528,ubuntu,20691,1291341,263,20931,34,79005,36661,6634,0.0011284560005151,6160,0.0638771200010523,6742,0.0043475290003698,6652,0.0009445739997318,144972,3
13,1679945428,hub,21431,1322516,1125,20935,34,188069,39779,7176,0.001119574999393,6676,0.0605771470000036,7363,0.0046335050010384,7194,0.0010250020004605,148513,3
14,1679945428,centos,19807,693155,263,10609,34,77540,43882,7838,0.0013396559988905,7228,0.0616867160006222,7693,0.0051230869994469,7856,0.0012208400003146,145229,3
14,1679945428,debian,19562,500965,263,11296,34,79276,45466,7842,0.0014282749998528,7256,0.0623906229993735,7692,0.0052284329995018,7860,0.0012764849998347,139793,3
